vendor,volume,name,total_dice_coefficient,IRF_dice_coefficient,SRF_dice_coefficient,PED_dice_coefficient
Topcon,TRAIN066,Topcon_TRAIN066_058,0.8243057464943635,0.8243057464943635,,
Topcon,TRAIN052,Topcon_TRAIN052_023,,,,
Cirrus,TRAIN014,Cirrus_TRAIN014_037,0.8482397716460514,,0.8482397716460514,
Cirrus,TRAIN014,Cirrus_TRAIN014_030,0.0,,0.0,
Cirrus,TRAIN012,Cirrus_TRAIN012_055,0.9246669413542096,0.0,0.8689963299824477,0.9406664623199195
Cirrus,TRAIN002,Cirrus_TRAIN002_041,,,,
Spectralis,TRAIN046,Spectralis_TRAIN046_030,0.929714568553044,0.5127753303964758,0.0,0.9307539167315849
Topcon,TRAIN063,Topcon_TRAIN063_091,0.8702157649354874,,0.8961589995533721,0.0
Cirrus,TRAIN014,Cirrus_TRAIN014_075,0.886845903041317,,0.8791807591131153,0.8957222566646001
Cirrus,TRAIN022,Cirrus_TRAIN022_068,0.7488783896454521,0.7455601931418283,0.0,0.0
Cirrus,TRAIN022,Cirrus_TRAIN022_072,0.673386642639937,0.7059108820854805,,0.0
Cirrus,TRAIN003,Cirrus_TRAIN003_084,0.7608695652173914,0.7608695652173914,,
Cirrus,TRAIN002,Cirrus_TRAIN002_028,,,,
Topcon,TRAIN063,Topcon_TRAIN063_114,0.5441765550600861,0.0,0.8392396151138231,0.0
Topcon,TRAIN060,Topcon_TRAIN060_014,,,,
Cirrus,TRAIN018,Cirrus_TRAIN018_102,0.0,,0.0,
Topcon,TRAIN068,Topcon_TRAIN068_005,,,,
Topcon,TRAIN066,Topcon_TRAIN066_077,0.5532503457814661,0.5532503457814661,,
Topcon,TRAIN063,Topcon_TRAIN063_123,0.7686795551242815,0.0,0.958688819039066,0.4017367458866545
Topcon,TRAIN052,Topcon_TRAIN052_105,,,,
Cirrus,TRAIN014,Cirrus_TRAIN014_067,0.9019762499452258,0.0,0.8965723993204757,0.9168015539009389
Cirrus,TRAIN018,Cirrus_TRAIN018_047,,,,
Topcon,TRAIN063,Topcon_TRAIN063_031,0.0,,,0.0
Cirrus,TRAIN002,Cirrus_TRAIN002_050,,,,
Topcon,TRAIN060,Topcon_TRAIN060_050,0.3331530557057869,0.41847826086956524,,0.0
Cirrus,TRAIN014,Cirrus_TRAIN014_055,0.8991713475335076,0.0,0.7997769102063581,0.8778844534276571
Spectralis,TRAIN041,Spectralis_TRAIN041_048,0.0,0.0,,
Cirrus,TRAIN014,Cirrus_TRAIN014_021,0.0,,0.0,
Topcon,TRAIN063,Topcon_TRAIN063_102,0.9004813612448226,,0.9212393566698203,0.5073375262054507
Cirrus,TRAIN018,Cirrus_TRAIN018_060,0.0,0.0,,
Topcon,TRAIN066,Topcon_TRAIN066_079,0.0,0.0,,
Cirrus,TRAIN022,Cirrus_TRAIN022_006,0.5692007797270955,0.5722787007190677,0.0,0.0
Topcon,TRAIN060,Topcon_TRAIN060_046,0.0,0.0,,0.0
Cirrus,TRAIN002,Cirrus_TRAIN002_036,0.0,0.0,,
Spectralis,TRAIN035,Spectralis_TRAIN035_035,0.8887212643678161,,0.9469940437931182,0.5867199644681323
Cirrus,TRAIN003,Cirrus_TRAIN003_057,0.6545454545454545,0.7883211678832117,0.0,0.0
